Show,Episode Number,Episode,Played,Unnamed: 4,,,
Bleach,42,"Yoruichi, Goddess Of Flash, Dances!",yee,,,,
Bleach,43,The Despicable Shinigami,yee,,,,
Bleach,44,Ishida Ultimate Power!,yee,,,,
Bleach,45,Overcome Your Limits!,yee,,,,
Bleach,46,Authentic Records! School Of Shinigami,yee,,,,
Bleach,47,The Avengers,yee,,,,
Bleach,48,Hitsugaya Roars!,yee,,,,
Bleach,49,Rukia's Nightmare,yee,,,,
Bleach,50,The Reviving Lion,yee,,,,
Bleach,51,Morning Of The Sentence,yee,,,,
Bleach,52,"Renji, Oath Of The Soul! Death Match With Byakuya",yee,,,,
Bleach,53,"Gin Ichimaru's Temptation, Resolution Shattered",yee,,,,
Bleach,54,An Accomplished Oath! Get Back Rukia!,yee,,,,
Bleach,55,The Strongest Shinigami! Ultimate Confrontation Between Teacher And Students,yee,,,,
Bleach,56,Supersonic Battle! Determine The Goddess Of Battle,yee,,,,
Bleach,57,"Senbonzakura, Crushed! Zangetsu Thrusts Through The Sky",yee,,,,
Bleach,58,"Unseal! The Black Blade, The Miraculous Power",yee,,,,
Bleach,59,Conclusion Of The Death Match! White Pride And Black Desire,yee,,,,
Bleach,60,"Reality Of The Despair, The Assassin's Dagger Is Swung",yee,,,,
Bleach,61,Aizen Stands! Horrible Ambitions,yee,,,,
Bleach,62,Gather Together! Group Of The Strongest Shinigami!,yee,,,,
Bleach,63,"Rukia's Resolution, Ichigo's Feelings",yee,,,,
Bleach,64,"New School Term, Renji Has Come To The Material World!",yee,,,,
Bleach,65,"Creeping Terror, The Second Victim",yee,,,,
Bleach,66,Breakthrough! The Trap Hidden In The Labyrinth,yee,,,,
Bleach,67,Death Game! The Missing Classmate,yee,,,,
Bleach,68,"True Identity Of The Devil, The Secret Which Is Revealed",yee,,,,
Bleach,69,Bount! The Ones Who Hunt Souls,yee,,,,
Bleach,70,Rukia's Return! Revival Of The Substitute Team!,yee,,,,
Bleach,71,The Moment Of Collision! An Evil Hand Draws Near To The Quincy,yee,,,,
Bleach,72,Water Attack! Escape From The Shutdown Hospital,yee,,,,
Bleach,73,Gathering Bounts! The Man Who Makes His Move,yee,,,,
Bleach,74,Memories Of An Eternally Living Clan,yee,,,,
Bleach,75,Earth-shattering Event At 11th Squad! The Shinigami Who Rises Again,yee,,,,
Bleach,76,Crashing Force! Fried Vs. Zangetsu,yee,,,,
Bleach,77,Unfading Grudge! The Shinigami Whom Kenpachi Killed,yee,,,,
Bleach,78,Shocking Revelations For The 13 Divisions!! The Truth Buried In History,yee,,,,
Bleach,79,Yoshino's Decision Of Death,yee,,,,
Bleach,80,Assault From A Formidable Enemy! A Tiny Final Line Of Defense!,yee,,,,
Bleach,81,Hitsugaya Moves! The Attacked City,yee,,,,
Bleach,82,Ichigo Vs. Dalk! Appearance Of The Faded Darkness,yee,,,,
Bleach,83,"Grey Shadow, The Secret Of The Dolls",yee,,,,
Bleach,84,Dissension In The Substitute Team. Rukia's Betrayal,yee,,,,
Bleach,85,Deadly Battle Of Tears! Rukia Vs. Orihime,yee,,,,
Bleach,86,Rangiku Dances! Slice The Invisible Enemy!,yee,,,,
Bleach,87,Byakuya Is Summoned! The Gotei 13 Start To Move!,yee,,,,
Bleach,88,Annihilation Of The Lieutenants! Trap In The Underground Cave,yee,,,,
Bleach,89,Rematch! Ishida Vs. Nemu,yee,,,,
Bleach,90,"Renji Abarai, Bankai Of The Soul!",yee,,,,
Bleach,91,"Shinigami And Quincy, The Reviving Power",yee,,,,
Bleach,92,"Invasion Of The Shinigami World, Again",yee,,,,
Bleach,93,The Bount Assault! The Gotei 13 Of Destructive Earthquake,yee,,,,
Bleach,94,Hitsugaya's Decision! The Clash Approaches,yee,,,,
Bleach,95,Byakuya Takes The Field! Dance Of The Wind-splitting Cherry Blossoms,yee,,,,
Bleach,96,"Ichigo, Byakuya, Kariya, The Battle Of The Three Extremes!",yee,,,,
Bleach,97,Hitsugaya Strikes! Slice The Enemy In The Middle Of The Forest,no,,,,
Bleach,98,Clash! Kenpachi Zaraki Vs. Maki Ichinose,no,,,,
Bleach,99,Shinigami Vs. Shinigami! The Uncontrollable Power,no,,,,
Bleach,100,Sui-feng Dies. The Last Of The Special Forces,no,,,,
Bleach,101,"Mayuri's Bankai!! Sawatari, Clash Of The Demon",no,,,,
Bleach,102,The Last Quincy! The Exploding Power,no,,,,
Bleach,103,"Ishida, Exceeding The Limits To Attack!",no,,,,
Bleach,104,10th Division's Death Struggle! The Release Of Hyorinmaru,no,,,,
Bleach,105,Kariya! Countdown To The Detonation,no,,,,
Bleach,106,"Life And Revenge! Ishida, The Ultimate Choice",no,,,,
